Timestamp,Type,Count
2023-11-29 13:12:12.738646,person,1
2023-11-29 13:12:13.713616,person,1
2023-11-29 13:12:22.987252,car,1
2023-11-29 13:12:23.916865,car,1
2023-11-29 13:12:24.853718,car,1
2023-11-29 13:12:25.819583,car,1
2023-11-29 13:12:26.749285,car,1
2023-11-29 13:12:27.669855,car,1
2023-11-29 13:12:28.635730,car,1
2023-11-29 13:12:29.582529,car,1
2023-11-29 13:12:30.511920,car,1
2023-11-29 13:12:31.463336,car,1
2023-11-29 13:12:31.464645,car,1
2023-11-29 13:12:32.431541,car,1
2023-11-29 13:12:32.433082,car,1
2023-11-29 13:12:33.405038,car,1
2023-11-29 13:12:33.406479,car,1
2023-11-29 13:12:34.355567,car,1
2023-11-29 13:12:34.357100,car,1
2023-11-29 13:12:42.768550,car,1
2023-11-29 13:12:42.769892,car,1
2023-11-29 13:12:43.696582,car,1
2023-11-29 13:12:44.631413,car,1
2023-11-29 13:12:44.632731,car,1
2023-11-29 13:12:45.571270,car,1
2023-11-29 13:12:45.572584,car,1
2023-11-29 13:12:46.509957,car,1
2023-11-29 13:12:47.431209,car,1
2023-11-29 13:12:48.347544,car,1
2023-11-29 13:12:49.285319,car,1
2023-11-29 13:12:50.217876,car,1
2023-11-29 13:12:51.202910,car,1
2023-11-29 13:12:51.204249,car,1
2023-11-29 13:12:51.205121,car,1
2023-11-29 13:12:52.130817,car,1
2023-11-29 13:12:52.132121,car,1
2023-11-29 13:12:58.719614,person,1
2023-11-29 13:12:59.651493,person,1
2023-11-29 13:12:59.652891,motorbike,1
2023-11-29 13:12:59.653810,person,1
2023-11-29 13:13:00.609566,motorbike,1
2023-11-29 13:13:01.572886,person,1
2023-11-29 13:13:02.484413,truck,1
2023-11-29 13:13:03.447782,truck,1
2023-11-29 13:13:05.319595,motorbike,1
2023-11-29 13:13:05.320959,person,1
2023-11-29 13:13:08.160466,person,1
2023-11-29 13:13:09.123152,person,1
2023-11-29 13:13:10.083592,car,1
2023-11-29 13:13:11.004240,car,1
2023-11-29 13:13:11.960356,car,1
